id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified
1982,1584925489000747011,https://twitter.com/aslamnatsir/statuses/1584925489000747011,https://twitter.com/aslamnatsir/statuses/1584925489000747011,aslamnatsir,@ridwankamil Semua masyarakat mangga digenjot untuk menghasilkan tanaman pangannya pak @ridwankamil,@ridwankamil Semua masyarakat mangga digenjot untuk menghasilkan tanaman pangannya pak @ridwankamil,2022-10-25 11:10:57,Twitter for Android,1,0,in,,reply,ridwankamil,80323736,1584923380377346049,,0,0,599220227,https://pbs.twimg.com/profile_images/1534908173781372928/Ys7j2RdQ_normal.jpg,2191,367,228,2012-06-04 08:57:34,"From Paris Van Java tea ningan                                         “The world is merciless, and it's also very beautiful.”","Bandung, Indonesia",
1983,1584925400781975552,https://twitter.com/aslamnatsir/statuses/1584925400781975552,https://twitter.com/aslamnatsir/statuses/1584925400781975552,aslamnatsir,RT @ridwankamil: Krisis pangan menghantui dunia di tahun-tahun mendatang. Karenanya kita harus respons dgn strategi besar di level negara &amp;…,"Krisis pangan menghantui dunia di tahun-tahun mendatang. Karenanya kita harus respons dgn strategi besar di level negara &amp; aksi2 kecil di level warga.

Hayu ber-urban farming bagi warga perkotaan. Gunakan halamannya utk bercocok tanam sederhana untuk keperluan dapur. #JabarJuara https://t.co/4TUV0GlxzN",2022-10-25 11:10:36,Twitter for Android,0,70,in,,retweet,,0,0,ridwankamil,80323736,1584923380377346049,599220227,https://pbs.twimg.com/profile_images/1534908173781372928/Ys7j2RdQ_normal.jpg,2191,367,228,2012-06-04 08:57:34,"From Paris Van Java tea ningan                                         “The world is merciless, and it's also very beautiful.”","Bandung, Indonesia",
1984,1584925252643336194,https://twitter.com/mahrusali1973/statuses/1584925252643336194,https://twitter.com/mahrusali1973/statuses/1584925252643336194,mahrusali1973,@ridwankamil ????????,@ridwankamil ????????,2022-10-25 11:10:01,Twitter Web App,2,0,und,,reply,ridwankamil,80323736,1584923380377346049,,0,0,709987698828824576,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,23,1,0,2016-03-16 02:20:33,,,
1985,1584925114441011200,https://twitter.com/L_Aprilliani/statuses/1584925114441011200,https://twitter.com/L_Aprilliani/statuses/1584925114441011200,L_Aprilliani,@ridwankamil Jgn sampe diindonesia jg terancam krisis ya pak,@ridwankamil Jgn sampe diindonesia jg terancam krisis ya pak,2022-10-25 11:09:28,Twitter for Android,1,0,in,,reply,ridwankamil,80323736,1584923380377346049,,0,0,1508132821,https://pbs.twimg.com/profile_images/1584729364868239360/534VJJWB_normal.jpg,671,178,387,2013-06-11 21:58:01,Hurt is mine,"Bandung, Indonesia",
1986,1584924775298011147,https://twitter.com/romanov04883388/statuses/1584924775298011147,https://twitter.com/romanov04883388/statuses/1584924775298011147,romanov04883388,"@hustle_man01 @TubosAnnafe @detikcom @ridwankamil Perbandingan tidak tepat, jalan tol dipake sama mobil/truk yang bisa dimiliki secara pribadi (dipakai terus menerus), kalo lrt cuman bisa dipake lewat beli tiket (tiket mahal, harus terus beli kalo mau pake, rute pendek, biaya pembangunan besar karena perlu teknologi memadai)","@hustle_man01 @TubosAnnafe @detikcom @ridwankamil Perbandingan tidak tepat, jalan tol dipake sama mobil/truk yang bisa dimiliki secara pribadi (dipakai terus menerus), kalo lrt cuman bisa dipake lewat beli tiket (tiket mahal, harus terus beli kalo mau pake, rute pendek, biaya pembangunan besar karena perlu teknologi memadai)",2022-10-25 11:08:07,Twitter for Android,0,0,in,,reply,hustle_man01,573874418,1584747891767541760,,0,0,1237007521807650816,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,538,178,2,2020-03-09 09:29:19,,,
1987,1584924753764421635,https://twitter.com/mencari_ayang/statuses/1584924753764421635,https://twitter.com/mencari_ayang/statuses/1584924753764421635,mencari_ayang,@ridwankamil Apa bisa kita tanam koin Rp 1.000 ke depannya akan berbuah Rp 100.000 pak? ????,@ridwankamil Apa bisa kita tanam koin Rp 1.000 ke depannya akan berbuah Rp 100.000 pak? ????,2022-10-25 11:08:02,Twitter for iPhone,1,0,in,,reply,ridwankamil,80323736,1584923380377346049,,0,0,1393805790528475139,https://pbs.twimg.com/profile_images/1442311158262743043/oDKkaklX_normal.jpg,552,150,2,2021-05-16 01:49:46,,"Bali, Indonesia",
1988,1584924705706094592,https://twitter.com/anni_noni/statuses/1584924705706094592,https://twitter.com/anni_noni/statuses/1584924705706094592,anni_noni,RT @ridwankamil: Krisis pangan menghantui dunia di tahun-tahun mendatang. Karenanya kita harus respons dgn strategi besar di level negara &amp;…,"Krisis pangan menghantui dunia di tahun-tahun mendatang. Karenanya kita harus respons dgn strategi besar di level negara &amp; aksi2 kecil di level warga.

Hayu ber-urban farming bagi warga perkotaan. Gunakan halamannya utk bercocok tanam sederhana untuk keperluan dapur. #JabarJuara https://t.co/4TUV0GlxzN",2022-10-25 11:07:50,Twitter for Android,0,70,in,,retweet,,0,0,ridwankamil,80323736,1584923380377346049,4745573953,https://pbs.twimg.com/profile_images/1524045532410175489/6I1BV5nm_normal.jpg,4425,80,54,2016-01-11 18:57:34,,,
1989,1584924511580737536,https://twitter.com/tmharu29/statuses/1584924511580737536,https://twitter.com/tmharu29/statuses/1584924511580737536,tmharu29,"@ridwankamil Nembe terang pa , di lebet gedung sate geuning aya nu kieu ??","@ridwankamil Nembe terang pa , di lebet gedung sate geuning aya nu kieu ??",2022-10-25 11:07:04,Twitter for Android,1,0,in,,reply,ridwankamil,80323736,1584923380377346049,,0,0,168569644,https://pbs.twimg.com/profile_images/827309635174424576/mE79yH_l_normal.jpg,23730,453,383,2010-07-20 03:27:20,,,
1990,1584924366944735232,https://twitter.com/bbustomi60/statuses/1584924366944735232,https://twitter.com/bbustomi60/statuses/1584924366944735232,bbustomi60,RT @ridwankamil: Krisis pangan menghantui dunia di tahun-tahun mendatang. Karenanya kita harus respons dgn strategi besar di level negara &amp;…,"Krisis pangan menghantui dunia di tahun-tahun mendatang. Karenanya kita harus respons dgn strategi besar di level negara &amp; aksi2 kecil di level warga.

Hayu ber-urban farming bagi warga perkotaan. Gunakan halamannya utk bercocok tanam sederhana untuk keperluan dapur. #JabarJuara https://t.co/4TUV0GlxzN",2022-10-25 11:06:30,Twitter for Android,0,70,in,,retweet,,0,0,ridwankamil,80323736,1584923380377346049,1564127338765332480,https://pbs.twimg.com/profile_images/1564127505564311552/wsM62KAN_normal.jpg,264,169,8,2022-08-29 01:47:11,,,
1991,1584924291060989952,https://twitter.com/HenryHutasoit1/statuses/1584924291060989952,https://twitter.com/HenryHutasoit1/statuses/1584924291060989952,HenryHutasoit1,@ridwankamil Kenapa harus pakai jas pak ini kan lagi bertani,@ridwankamil Kenapa harus pakai jas pak ini kan lagi bertani,2022-10-25 11:06:12,Twitter for Android,2,0,in,,reply,ridwankamil,80323736,1584923380377346049,,0,0,1555896305133965313,https://pbs.twimg.com/profile_images/1555897387260182528/Ph8GvTUO_normal.jpg,248,238,54,2022-08-06 08:40:00,kita harus bangkit,,
