id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
883,1605209543985991680,"https://twitter.com/Danayataaa/statuses/1605209543985991680","https://twitter.com/Danayataaa/statuses/1605209543985991680","Danayataaa","@dheaputrinabila @PemudaPejuang_ @ridwankamil harus kita dukung terus kang Emil #bersamajuara #ridwankamil","@dheaputrinabila @PemudaPejuang_ @ridwankamil harus kita dukung terus kang Emil #bersamajuara #ridwankamil","2022-12-20 09:32:33","Twitter Web App",0,0,"in","","reply","dheaputrinabila",710263932,1604512923346698241,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
884,1605209450847293442,"https://twitter.com/Danayataaa/statuses/1605209450847293442","https://twitter.com/Danayataaa/statuses/1605209450847293442","Danayataaa","@dheaputrinabila @RianajahRian @ridwankamil betul sekali #bersamajuara #ridwankamil","@dheaputrinabila @RianajahRian @ridwankamil betul sekali #bersamajuara #ridwankamil","2022-12-20 09:32:11","Twitter Web App",0,0,"in","","reply","dheaputrinabila",710263932,1604513098383396871,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
885,1605209391598555136,"https://twitter.com/Danayataaa/statuses/1605209391598555136","https://twitter.com/Danayataaa/statuses/1605209391598555136","Danayataaa","@dheaputrinabila paling woles sih #bersamajuara #ridwankamil","@dheaputrinabila paling woles sih #bersamajuara #ridwankamil","2022-12-20 09:31:56","Twitter Web App",0,0,"in","","reply","dheaputrinabila",710263932,1604513298460082176,"",0,0,489243438,"https://pbs.twimg.com/profile_images/1592450306025005056/G1vDKu4R_normal.jpg",521,375,113,"2012-02-11 05:05:14","Wild ones","Jakarta, Indonesia","",
886,1605208970201006081,"https://twitter.com/SoekmaPerkasa/statuses/1605208970201006081","https://twitter.com/SoekmaPerkasa/statuses/1605208970201006081","SoekmaPerkasa","@Anisabilu8 @futkiaw @FadiaNurin @ridwankamil ini terbukti dengan Jabar yang sekarang jadi Juara #bersamajuara #ridwankamil","@Anisabilu8 @futkiaw @FadiaNurin @ridwankamil ini terbukti dengan Jabar yang sekarang jadi Juara #bersamajuara #ridwankamil","2022-12-20 09:30:16","Twitter Web App",0,0,"in","","reply","Anisabilu8",1090872080,1605201690655084549,"",0,0,497079154,"https://pbs.twimg.com/profile_images/1592452001836593153/mTXtRpPw_normal.jpg",515,163,106,"2012-02-19 11:02:14","I just arrived and I won you over just by looking","Jakarta, Indonesia","",
887,1605208815951282185,"https://twitter.com/SoekmaPerkasa/statuses/1605208815951282185","https://twitter.com/SoekmaPerkasa/statuses/1605208815951282185","SoekmaPerkasa","@Anisabilu8 @futkiaw @ruhimawati @FadiaNurin @ridwankamil mungkinkah sampai clue ke 4? #bersamajuara #ridwankamil","@Anisabilu8 @futkiaw @ruhimawati @FadiaNurin @ridwankamil mungkinkah sampai clue ke 4? #bersamajuara #ridwankamil","2022-12-20 09:29:39","Twitter Web App",0,0,"in","","reply","Anisabilu8",1090872080,1605202409885949952,"",0,0,497079154,"https://pbs.twimg.com/profile_images/1592452001836593153/mTXtRpPw_normal.jpg",515,163,106,"2012-02-19 11:02:14","I just arrived and I won you over just by looking","Jakarta, Indonesia","",
888,1605208750906015744,"https://twitter.com/SoekmaPerkasa/statuses/1605208750906015744","https://twitter.com/SoekmaPerkasa/statuses/1605208750906015744","SoekmaPerkasa","@futkiaw @ruhimawati @FadiaNurin @ridwankamil semoga saja dan secepatnya #bersamajuara #ridwankamil","@futkiaw @ruhimawati @FadiaNurin @ridwankamil semoga saja dan secepatnya #bersamajuara #ridwankamil","2022-12-20 09:29:24","Twitter Web App",0,0,"in","","reply","futkiaw",624553983,1605197876518617090,"",0,0,497079154,"https://pbs.twimg.com/profile_images/1592452001836593153/mTXtRpPw_normal.jpg",515,163,106,"2012-02-19 11:02:14","I just arrived and I won you over just by looking","Jakarta, Indonesia","",
889,1605208689526583296,"https://twitter.com/SoekmaPerkasa/statuses/1605208689526583296","https://twitter.com/SoekmaPerkasa/statuses/1605208689526583296","SoekmaPerkasa","@Anisabilu8 @ruhimawati @FadiaNurin @ridwankamil info diterima #bersamajuara #ridwankamil","@Anisabilu8 @ruhimawati @FadiaNurin @ridwankamil info diterima #bersamajuara #ridwankamil","2022-12-20 09:29:09","Twitter Web App",0,0,"in","","reply","Anisabilu8",1090872080,1605202356362432513,"",0,0,497079154,"https://pbs.twimg.com/profile_images/1592452001836593153/mTXtRpPw_normal.jpg",515,163,106,"2012-02-19 11:02:14","I just arrived and I won you over just by looking","Jakarta, Indonesia","",
890,1605208652331520000,"https://twitter.com/SoekmaPerkasa/statuses/1605208652331520000","https://twitter.com/SoekmaPerkasa/statuses/1605208652331520000","SoekmaPerkasa","@ruhimawati @FadiaNurin @ridwankamil kayak main teka-teki ya #bersamajuara #ridwankamil","@ruhimawati @FadiaNurin @ridwankamil kayak main teka-teki ya #bersamajuara #ridwankamil","2022-12-20 09:29:00","Twitter Web App",0,0,"in","","reply","ruhimawati",1855863024,1605193391817752577,"",0,0,497079154,"https://pbs.twimg.com/profile_images/1592452001836593153/mTXtRpPw_normal.jpg",515,163,106,"2012-02-19 11:02:14","I just arrived and I won you over just by looking","Jakarta, Indonesia","",
891,1605208517484621825,"https://twitter.com/SoekmaPerkasa/statuses/1605208517484621825","https://twitter.com/SoekmaPerkasa/statuses/1605208517484621825","SoekmaPerkasa","@futkiaw @SisFebriana @FadiaNurin @ridwankamil masih berharap besar nih #bersamajuara #ridwankamil","@futkiaw @SisFebriana @FadiaNurin @ridwankamil masih berharap besar nih #bersamajuara #ridwankamil","2022-12-20 09:28:28","Twitter Web App",0,0,"in","","reply","futkiaw",624553983,1605197929631076352,"",0,0,497079154,"https://pbs.twimg.com/profile_images/1592452001836593153/mTXtRpPw_normal.jpg",515,163,106,"2012-02-19 11:02:14","I just arrived and I won you over just by looking","Jakarta, Indonesia","",
892,1605208504444522497,"https://twitter.com/adc1489/statuses/1605208504444522497","https://twitter.com/adc1489/statuses/1605208504444522497","adc1489","RT @jpnncom: Ridwan Kamil Datang ke Balai Kota, Bahas apa? #RidwanKamil https://t.co/3jRtwXB9bD","Ridwan Kamil Datang ke Balai Kota, Bahas apa? #RidwanKamil https://t.co/3jRtwXB9bD","2022-12-20 09:28:25","Twitter for Android",0,2,"in","","retweet","",0,0,"jpnncom",79130206,1605196837782454274,4924332944,"https://pbs.twimg.com/profile_images/1422098656375689216/cD49YY_e_normal.jpg",115196,90,72,"2016-02-18 01:45:36","Kau adalah tempat ku kembali dan pulang 💫💥❤️🚶‍♂️🚶‍♀️#adc14(salamcahayadancinta)","Jakarta Selatan, indonesia","",
